0,1,2
2451287.8299,-11792.0,6.0
2451287.842,-11792.0,6.0
2451355.6742,-11818.0,5.0
2451386.6021,-11820.0,6.0
2451386.6142,-11827.0,7.0
2451398.5258,-11829.0,6.0
2451401.5064,-11839.0,5.0
2451404.506,-11825.0,10.0
2451437.4956,-11853.0,6.0
2451621.8367,-11769.0,7.0
2451633.8366,-11754.0,5.0
2451634.8217,-11758.0,7.0
2451635.8028,-11776.0,6.0
2451640.815,-11757.0,6.0
2451641.7829,-11784.0,6.0
2451642.7956,-11779.0,6.0
2451645.7924,-11769.0,6.0
2451646.861,-11774.0,5.0
2451689.7577,-11803.0,9.0
2451698.7356,-11782.0,10.0
2451746.6397,-11787.0,11.0
2451749.5959,-11814.0,5.0
2451750.5747,-11809.0,7.0
2451753.5744,-11804.0,6.0
2451758.6197,-11783.0,11.0
2451774.5648,-11824.0,6.0
2451777.5467,-11829.0,8.0
2451780.5202,-11827.0,11.0
2451785.512,-11824.0,7.0
2451786.5138,-11831.0,7.0
2451787.5463,-11833.0,9.0
2451806.5687,-11844.0,11.0
2451809.5319,-11838.0,6.0
2451811.5224,-11847.0,8.0
2451967.877,-11780.0,6.0
2451971.879,-11775.0,5.0
2451976.8911,-11781.0,6.0
2451979.8811,-11767.0,5.0
2451985.8917,-11777.0,5.0
2451985.9034,-11787.0,5.0
2452047.7333,-11797.0,8.0
2452047.745,-11808.0,11.0
2452072.7029,-11815.0,6.0
2452072.7092,-11805.0,6.0
2452081.6003,-11801.0,6.0
2452085.6604,-11787.0,12.0
2452090.5804,-11777.0,10.0
2452090.5921,-11797.0,10.0
2452102.5813,-11785.0,12.0
2452105.611,-11809.0,6.0
2452128.5384,-11812.0,5.0
2452128.5501,-11826.0,5.0
2452130.5848,-11807.0,5.0
2452130.5984,-11796.0,5.0
2452133.5261,-11830.0,9.0
2452133.5378,-11844.0,9.0
2452135.5182,-11817.0,5.0
2452135.5299,-11815.0,5.0
2452136.5898,-11825.0,5.0
2452136.6048,-11829.0,6.0
2452140.6165,-11806.0,7.0
2452140.6282,-11811.0,8.0
2452142.4921,-11814.0,5.0
2452142.5057,-11828.0,5.0
2452144.4794,-11812.0,8.0
2452144.4957,-11820.0,7.0
2452150.5654,-11825.0,5.0
2452150.5771,-11817.0,6.0
2452162.4944,-11800.0,7.0
2452168.5095,-11830.0,6.0
2452169.4978,-11827.0,10.0
2452170.4993,-11827.0,6.0
2452178.4892,-11845.0,9.0
2452303.8717,-11811.0,7.0
2452304.8659,-11787.0,10.0
2452305.8642,-11794.0,4.0
2452306.8335,-11787.0,4.0
2452307.8843,-11794.0,4.0
2452308.8781,-11776.0,3.0
2452309.8731,-11784.0,5.0
2452310.8813,-11778.0,4.0
2452311.8807,-11784.0,4.0
2452312.8835,-11795.0,4.0
2452315.8828,-11791.0,5.0
2452317.8668,-11768.0,5.0
2452318.8854,-11770.0,4.0
2452319.8803,-11763.0,5.0
2452321.8901,-11771.0,4.0
2452322.8787,-11777.0,4.0
2452353.8492,-11756.0,4.0
2452354.8157,-11748.0,5.0
2452355.84,-11764.0,4.0
2452356.797,-11770.0,4.0
2452357.8153,-11769.0,4.0
2452358.8843,-11767.0,4.0
2452359.7753,-11777.0,4.0
2452360.8322,-11776.0,4.0
2452361.7528,-11780.0,4.0
2452363.7555,-11787.0,5.0
2452364.9005,-11764.0,7.0
2452365.8601,-11752.0,5.0
2452366.877,-11766.0,5.0
2452367.8276,-11771.0,4.0
2452373.8594,-11767.0,5.0
2452373.8737,-11765.0,5.0
2452396.9118,-11785.0,5.0
2452399.8689,-11797.0,5.0
2452433.6886,-11788.0,6.0
2452437.6969,-11780.0,7.0
2452439.5503,-11780.0,5.0
2452439.6055,-11798.0,4.0
2452440.6235,-11812.0,6.0
2452440.6371,-11802.0,6.0
2452443.6361,-11804.0,6.0
2452443.6499,-11799.0,6.0
2452446.6655,-11777.0,5.0
2452446.6798,-11777.0,5.0
2452454.6567,-11807.0,6.0
2452467.6549,-11810.0,6.0
2452467.6684,-11791.0,6.0
2452486.5125,-11830.0,11.0
2452486.5266,-11808.0,11.0
2452488.5193,-11827.0,10.0
2452491.4966,-11795.0,7.0
2452495.5599,-11822.0,5.0
2452498.5305,-11802.0,4.0
2452687.8056,-11827.0,5.0
2452712.8422,-11759.0,6.0
2452756.8218,-11774.0,8.0
2452776.8374,-11781.0,8.0
2452776.8497,-11780.0,9.0
2452777.8635,-11779.0,9.0
2452777.8758,-11765.0,9.0
2452785.7347,-11801.0,6.0
2452797.6168,-11797.0,5.0
2452797.7308,-11778.0,11.0
NaN,NaN,NaN
