0,1,2
2453188.89793,83.7,7.3
2453545.93082,59.3,7.8
2453654.7815,-5.7,8.9
2453663.59284,-65.0,8.1
2453664.75192,-66.6,5.1
2453893.94619,122.4,6.6
2453897.93174,161.8,8.3
2453900.94113,123.0,6.1
2453903.91408,113.6,8.9
2453906.95211,129.3,7.0
2454021.75319,61.8,4.5
2454041.56348,102.9,6.2
2454057.52965,175.2,6.0
2454057.66257,173.4,8.1
2454075.62739,132.2,5.3
2454092.60329,147.2,6.7
2454110.55038,194.7,8.1
2454277.90802,55.1,7.5
2454282.89529,49.3,5.3
2454331.76734,-34.7,6.6
2454360.68436,-29.2,6.1
2454438.64524,54.9,6.4
2454440.63141,18.4,4.7
2454474.55096,25.0,7.2
2454628.94381,37.0,5.5
2454632.93929,51.8,4.7
2454633.92385,43.6,7.2
2454639.88022,119.8,8.2
2454725.85386,147.5,10.3
2454743.81509,94.9,5.1
2454758.59993,145.2,7.8
2454777.72166,129.9,6.8
2454792.66502,175.7,7.2
2454812.62646,106.2,6.7
2454844.54772,190.2,8.4
2455049.95087,56.2,7.6
2455073.73259,-23.0,11.5
2455097.68015,19.1,7.2
2455118.74693,7.6,16.6
2455118.79165,8.1,7.1
NaN,NaN,NaN
