0,1,2
2453511.77355,-9218.4,1.0
2453520.744746,-9201.9,1.2
2453573.512143,-9212.5,1.1
2453574.522225,-9202.8,0.9
2453575.480749,-9209.1,0.8
2453576.536462,-9220.2,0.8
2453577.592499,-9222.7,1.0
2453578.510608,-9212.6,0.7
2453578.629602,-9209.8,1.0
2453579.462557,-9199.2,0.8
2453579.621153,-9198.1,0.9
2453585.461666,-9206.3,0.8
2453586.465158,-9215.2,0.5
2453587.464808,-9229.0,1.5
2453589.462024,-9207.0,0.5
2453590.463791,-9198.6,0.5
2453591.466379,-9205.1,0.5
2453592.464813,-9217.6,0.5
2453607.507527,-9202.0,0.8
2453608.482956,-9217.2,1.0
2453609.487931,-9224.9,1.5
2453757.877412,-9206.6,0.8
2453760.875568,-9213.6,1.2
2453761.85888,-9202.5,1.2
2453811.847024,-9206.0,1.1
2453813.827098,-9221.1,0.7
2453830.837258,-9213.5,0.8
2453862.70121,-9210.7,0.8
2453864.713534,-9196.9,0.9
2453867.752263,-9220.3,0.9
2453870.69658,-9206.4,0.9
2453882.657635,-9222.2,0.8
2453887.6909,-9216.8,0.7
2453918.621843,-9205.2,0.9
2453920.594936,-9229.8,0.9
2453945.542994,-9202.7,0.8
2453951.485592,-9205.5,0.7
2453975.471469,-9218.4,0.8
2453979.544067,-9219.5,1.1
2454166.874379,-9225.4,0.9
2454170.853938,-9203.1,0.7
2454194.872442,-9223.9,0.9
2454196.750581,-9196.5,1.0
2454197.844587,-9193.8,1.1
2454198.855914,-9214.2,1.1
2454199.73295,-9216.3,0.8
2454200.911111,-9211.1,0.9
2454201.868427,-9200.8,0.8
2454202.882792,-9197.7,0.8
NaN,NaN,NaN
